     index            Field [G]         Intensity []
       157                262.4   -0.560949047775867
       158                262.8   -0.559776627514548
       159                263.2   -0.557334960191734
       160                263.6    -0.55430129222361
       161                  264   -0.551580506525766
       162                264.4   -0.549810159540771
       163                264.8   -0.549041000263842
       164                265.2   -0.548852999604981
       165                265.6   -0.548771252464508
       166                  266   -0.548608353434734
       167                266.4   -0.548476073379357
       168                266.8   -0.548523090785972
       169                267.2   -0.548681339784731
       170                267.6   -0.548668173107008
       171                  268   -0.548238336467026
       172                268.4   -0.547437907910525
       173                268.8   -0.546609052952719
       174                269.2   -0.546126947234941
       175                269.6   -0.546086227906569
       176                  270   -0.546185084898024
       177                270.4   -0.545890861405844
       178                270.8   -0.544774459117379
       179                271.2   -0.542804900208498
       180                271.6   -0.540426738096251
       181                  272   -0.538365192393187
       182                272.4   -0.537262397429553
       183                272.8   -0.537366414081968
       184                273.2   -0.538480703851027
       185                273.6   -0.540202778847332
       186                  274   -0.542247993333208
       187                274.4   -0.544579249067166
       188                274.8   -0.547249408458274
       189                275.2   -0.550143976247603
       190                275.6     -0.5528918805691
       191                  276   -0.555013237525767
       192                276.4   -0.556138713570989
       193                276.8   -0.556123817993402
       194                277.2   -0.555050937521037
       195                277.6    -0.55321550101048
       196                  278   -0.551118356179941
       197                278.4   -0.549376912602271
       198                278.8   -0.548505602086011
       199                279.2   -0.548676463308783
       200                279.6   -0.549644588396272
       201                  280   -0.550892930653184
       202                280.4   -0.551863296566824
       203                280.8   -0.552117791583076
       204                281.2    -0.55141175827574
       205                281.6   -0.549749777404252
       206                  282   -0.547437045699088
       207                282.4   -0.545041287996678
       208                282.8   -0.543191523014224
       209                283.2   -0.542274617212814
       210                283.6   -0.542233150469797
       211                  284   -0.542657585368249
       212                284.4   -0.543144213634336
       213                284.8   -0.543633948774389
       214                285.2   -0.544437839825484
       215                285.6   -0.545936546158634
       216                  286   -0.548222156480688
       217                286.4   -0.550955453851103
       218                286.8   -0.553496836362397
       219                287.2    -0.55518488577345
       220                287.6   -0.555602454490838
       221                  288   -0.554724810027928
       222                288.4   -0.552910208587299
       223                288.8   -0.550748347185987
       224                289.2   -0.548823998827928
       225                289.6   -0.547483896249088
       226                  290   -0.546712418956385
       227                290.4   -0.546194981607213
       228                290.8   -0.545549206842303
       229                291.2   -0.544579364079392
       230                291.6   -0.543372113725502
       231                  292   -0.542168858169178
       232                292.4   -0.541143789196161
       233                292.8   -0.540302593450324
       234                293.2   -0.539588316537301
       235                293.6   -0.539056974471527
       236                  294   -0.538909569293864
       237                294.4   -0.539328491037879
       238                294.8   -0.540282948481648
       239                295.2   -0.541498677990458
       240                295.6    -0.54261255902371
       241                  296   -0.543360330263153
       242                296.4    -0.54365293783144
       243                296.8   -0.543540811324826
       244                297.2   -0.543162136691388
       245                297.6   -0.542723766290903
       246                  298   -0.542463936709312
       247                298.4   -0.542545224221393
       248                298.8   -0.542931328632488
       249                299.2   -0.543363165747675
       250                299.6   -0.543469186594027
       251                  300    -0.54292030883634
       252                300.4   -0.541534448863479
       253                300.8   -0.539337279262651
       254                301.2   -0.536619294902528
       255                301.6   -0.533932855850457
       256                  302   -0.531925395200694
       257                302.4   -0.531057157009152
       258                302.8    -0.53143554986777
       259                303.2   -0.532915257630126
       260                303.6   -0.535304107429832
       261                  304   -0.538385864016218
       262                304.4   -0.541740042871491
       263                304.8   -0.544672682637712
       264                305.2   -0.546502691238464
       265                305.6   -0.547021155514696
       266                  306   -0.546677159234935
       267                306.4   -0.546267870533926
       268                306.8   -0.546368643502637
       269                307.2   -0.546955706442916
       270                307.6   -0.547490038781084
       271                  308   -0.547368201902236
       272                308.4   -0.546397197357753
       273                308.8   -0.544954487545017
       274                309.2     -0.5437286931834
       275                309.6   -0.543254412346439
       276                  310    -0.54361737164463
       277                310.4   -0.544543516790084
       278                310.8   -0.545721646090103
       279                311.2   -0.547011606650823
       280                311.6   -0.548365364178539
       281                  312   -0.549616569963482
       282                312.4   -0.550406408774452
       283                312.8   -0.550338255601759
       284                313.2   -0.549230491567211
       285                313.6   -0.547271492107639
       286                  314   -0.544968815684223
       287                314.4   -0.542925005351724
       288                314.8   -0.541582129608215
       289                315.2   -0.541095199942263
       290                315.6   -0.541399215844593
       291                  316    -0.54238676445682
       292                316.4    -0.54402991061666
       293                316.8   -0.546338670967685
       294                317.2   -0.549205085361709
       295                317.6   -0.552291061161923
       296                  318   -0.555073424408523
       297                318.4   -0.557018829175382
       298                318.8   -0.557771413623278
       299                319.2   -0.557252509931171
       300                319.6   -0.555637163227875
       301                  320   -0.553240020637034
       302                320.4    -0.55039954279899
       303                320.8   -0.547444966795743
       304                321.2   -0.544729439579466
       305                321.6   -0.542607768768866
       306                  322   -0.541278832660798
       307                322.4   -0.540594039933597
       308                322.8   -0.540049842934926
       309                323.2   -0.539067278456389
       310                323.6   -0.537401616717255
       311                  324   -0.535375916596871
       312                324.4   -0.533741512900346
       313                324.8   -0.533239788190149
       314                325.2   -0.534151364463265
       315                325.6   -0.536120928699171
       316                  326   -0.538353675581057
       317                326.4   -0.540041742222748
       318                326.8   -0.540762240010694
       319                327.2    -0.54064744968004
       320                327.6   -0.540279870717851
       321                  328   -0.540393820470304
       322                328.4    -0.54152362950222
       323                328.8   -0.543740887657241
       324                329.2   -0.546586227510571
       325                329.6   -0.549226531295528
       326                  330   -0.550773451219236
       327                330.4   -0.550630119144982
       328                330.8   -0.548726629794341
       329                331.2   -0.545550858624405
       330                331.6   -0.541955547685133
       331                  332   -0.538824969181621
       332                332.4   -0.536776396212526
       333                332.8   -0.536045735840363
       334                333.2   -0.536542112270699
       335                333.6   -0.537929434913867
       336                  334    -0.53966429321195
       337                334.4   -0.541076821813831
       338                334.8    -0.54158702209222
       339                335.2   -0.540986596853033
       340                335.6   -0.539595705743339
       341                  336   -0.538157964733505
       342                336.4   -0.537491481746956
       343                336.8   -0.538049803548655
       344                337.2   -0.539621876922552
       345                337.6   -0.541382169721518
       346                  338   -0.542334098023173
       347                338.4   -0.541913693421534
       348                338.8   -0.540348281828523
       349                339.2    -0.53849953465408
       350                339.6   -0.537295762205871
       351                  340   -0.537159323528272
       352                340.4   -0.537815190390449
       353                340.8   -0.538576783498427
       354                341.2   -0.538883878727466
       355                341.6   -0.538716565281656
       356                  342   -0.538608405539832
       357                342.4   -0.539271226767017
       358                342.8   -0.541114002426607
       359                343.2   -0.543970929451675
       360                343.6   -0.547153742186885
       361                  344   -0.549728945209438
       362                344.4   -0.550854470285932
       363                344.8   -0.550057104281456
       364                345.2   -0.547392266669776
       365                345.6   -0.543463598916245
       366                  346    -0.53928877589555
       367                346.4   -0.535999063457753
       368                346.8   -0.534419883617136
       369                347.2   -0.534714918143053
       370                347.6   -0.536341501723863
       371                  348   -0.538400642911197
       372                348.4   -0.540163826604214
       373                348.8     -0.5414137864144
       374                349.2   -0.542393983424654
       375                349.6   -0.543464942080477
       376                  350   -0.544756864996345
       377                350.4   -0.546063451169899
       378                350.8   -0.547002744987827
       379                351.2   -0.547264766640762
       380                351.6   -0.546754725006888
       381                  352   -0.545610978930736
       382                352.4   -0.544199735846665
       383                352.8   -0.543103531770292
       384                353.2   -0.542977589155976
       385                353.6   -0.544216746264792
       386                  354   -0.546638781007376
       387                354.4   -0.549502729901064
       388                354.8   -0.551915871468473
       389                355.2   -0.553293583992604
       390                355.6   -0.553493044922272
       391                  356   -0.552615661964917
       392                356.4   -0.550803659855975
       393                356.8   -0.548252797065959
       394                357.2   -0.545323869722015
       395                357.6   -0.542532620628024
       396                  358   -0.540403144522589
       397                358.4   -0.539326749063444
       398                358.8   -0.539483848498402
       399                359.2   -0.540781483367922
       400                359.6   -0.542833440991545
       401                  360   -0.545099402915328
       402                360.4   -0.547176360183274
       403                360.8   -0.549019915851548
       404                361.2   -0.550876919481146
       405                361.6   -0.552974038428339
       406                  362   -0.555235129393922
       407                362.4   -0.557255069261626
       408                362.8   -0.558520539301872
       409                363.2   -0.558686428366411
       410                363.6   -0.557723040809916
       411                  364   -0.555886225332169
       412                364.4   -0.553589618755097
       413                364.8    -0.55128194013734
       414                365.2   -0.549370061509165
       415                365.6   -0.548170245431091
       416                  366   -0.547866064989621
       417                366.4   -0.548471879289922
       418                366.8   -0.549814337085083
       419                367.2    -0.55155931670477
       420                367.6     -0.5533095404311
       421                  368   -0.554740645497894
       422                368.4   -0.555680967440059
       423                368.8   -0.556079430746111
       424                369.2   -0.555925547245495
       425                369.6   -0.555229817342949
       426                  370   -0.554082533968812
       427                370.4   -0.552708827741183
       428                370.8   -0.551437585117486
       429                371.2   -0.550566296728062
       430                371.6    -0.55017295477801
       431                  372   -0.549993980568925
       432                372.4    -0.54950404344416
       433                372.8   -0.548213311305517
       434                373.2   -0.545998844705178
       435                373.6   -0.543220057679303
       436                  374   -0.540534014821949
       437                374.4   -0.538567003686922
       438                374.8   -0.537681510643466
       439                375.2   -0.537947299341217
       440                375.6   -0.539231737581574
       441                  376   -0.541255220556106
       442                376.4   -0.543565658751248
       443                376.8   -0.545543533888376
       444                377.2   -0.546565391187738
       445                377.6   -0.546284583186987
       446                  378   -0.544816649548114
       447                378.4   -0.542659392109138
       448                378.8   -0.540410711847878
       449                379.2   -0.538514520683515
       450                379.6   -0.537189360249588
       451                  380   -0.536490274298136
       452                380.4   -0.536363834032124
       453                380.8   -0.536645800428486
       454                381.2   -0.537071478746486
       455                381.6   -0.537373331682547
       456                  382   -0.537436906432368
       457                382.4    -0.53738861831376
       458                382.8   -0.537506087833871
       459                383.2   -0.537990392763853
       460                383.6   -0.538789991907062
